"","name","betweenness","closeness","degree"
"OTU382","OTU382",963.5,0.00352389376165088,42
"OTU57","OTU57",600.232142857143,0.00371054760261519,66
"OTU469","OTU469",28.5,0.00289462410411384,10
"OTU501","OTU501",306.5,0.00338876218683601,33
"OTU333","OTU333",786.891233766234,0.00367497087585581,34
"OTU18","OTU18",46,0.00352117635459654,79
"OTU177","OTU177",363.833333333333,0.00341849955217656,34
"OTU62","OTU62",157.5,0.00348099723608819,80
"OTU5","OTU5",145,0.00342773310298966,78
"OTU115","OTU115",154.5,0.00317924588287658,14
"OTU123","OTU123",568.25,0.00375199324641216,44
"OTU456","OTU456",36,0.00229427784163518,7
"OTU20","OTU20",129.5,0.00315899872376451,18
"OTU225","OTU225",68.5,0.00291275144326834,11
"OTU251","OTU251",107,0.00290699364531189,10
"OTU471","OTU471",127.25,0.00330215002988446,16
"OTU29","OTU29",345.5,0.00325709558272697,36
"OTU98","OTU98",273.75,0.00354700490905479,62
"OTU506","OTU506",136.333333333333,0.00293758225230306,8
"OTU502","OTU502",93,0.00301249280767342,9
"OTU64","OTU64",9,0.00269140607127381,7
"OTU17","OTU17",260,0.00297782118779332,14
"OTU439","OTU439",66.1666666666667,0.00313326398375716,11
"OTU1257","OTU1257",26,0.00261106150094259,8
"OTU86","OTU86",32,0.00312293105817396,14
"OTU162","OTU162",94,0.00303881170307163,10
"OTU71","OTU71",60,0.00343977132400238,74
"OTU682","OTU682",298,0.00305945125682257,18
"OTU429","OTU429",9.83333333333333,0.00292070575933969,9
"OTU270","OTU270",245.166666666667,0.0029681164926361,27
"OTU219","OTU219",283.5,0.00326562602050813,15
"OTU116","OTU116",309,0.00339389167376556,14
"OTU583","OTU583",485.75,0.00352559582569454,28
"OTU58","OTU58",677.25,0.00363217672719084,41
"OTU139","OTU139",537,0.00344123912138283,22
"OTU97","OTU97",389.5,0.00369729505893488,72
"OTU120","OTU120",74,0.00310158304798769,13
"OTU347","OTU347",24.718722943723,0.00330301168605535,35
"OTU1201","OTU1201",32.5,0.00289462410411384,10
"OTU202","OTU202",537.25,0.00352660292919639,31
"OTU369","OTU369",161.045454545455,0.00329035038941297,22
"OTU24","OTU24",60,0.00344733675998607,59
"OTU142","OTU142",151,0.003370032992623,52
"OTU539","OTU539",25.718722943723,0.00330301168605535,35
"OTU33","OTU33",134,0.00293249972141253,13
"OTU258","OTU258",47,0.00301862187836765,12
"OTU513","OTU513",97,0.00276336223810234,9
"OTU154","OTU154",242,0.00339127898695714,21
"OTU169","OTU169",42,0.00315182001846967,10
"OTU101","OTU101",547.666666666667,0.00357765112892781,25
"OTU56","OTU56",26,0.00351098939681202,79
"OTU587","OTU587",25.718722943723,0.00330301168605535,35
"OTU128","OTU128",509.666666666667,0.0036010731197897,31
"OTU435","OTU435",478.75,0.00343341745206091,24
"OTU410","OTU410",51,0.00282224379670814,5
"OTU377","OTU377",93.75,0.00302461126183757,11
"OTU1","OTU1",52,0.00312764872751611,30
"OTU132","OTU132",79.5,0.00310554183941243,10
"OTU66","OTU66",144.083333333333,0.00351022528625887,71
"OTU252","OTU252",92.5,0.00284324345840761,9
"OTU53","OTU53",173.5,0.00316945155810239,13
"OTU37","OTU37",116.5,0.00332125503585295,52
"OTU330","OTU330",209,0.00323996824831117,23
"OTU390","OTU390",128.833333333333,0.00321844555516577,30
"OTU119","OTU119",571,0.00379761737485902,43
"OTU334","OTU334",385,0.0033304802219432,36
"OTU180","OTU180",50,0.00303322595713445,12
"OTU78","OTU78",160,0.00284382562798779,9
"OTU121","OTU121",377,0.00349286407868724,30
