"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.29558",41.9841,52.756,41.7882,45.1664,46.0269,44.6028,36.64
"MSTRG.29559",18.6815,20.3399,20.5626,20.7412,13.6405,16.5528,22.2122
"MSTRG.2956",14.9465,19.5507,15.5247,15.6856,18.6819,14.752,16.2949
"MSTRG.29560",11.9031,11.1129,15.6152,11.8128,10.428,11.5622,11.8693
"MSTRG.29561",4.39113,4.16917,4.84832,6.15786,6.01715,5.21321,4.35862
"MSTRG.29562",0.0782047,1.5485,1.43441,0.397202,2.1715,0.888276,0.529014
"MSTRG.29563",2.43079,1.79945,2.58189,1.92095,1.68218,2.07172,2.07835
"MSTRG.29564",6.61699,5.13981,4,4.33502,4.98985,3.67397,4.4093
"MSTRG.29565",305.818,319.516,155.15,348.139,242.877,276.206,168.97
"MSTRG.29566",0.529859,0.35485,0.127089,1.46839,1.07035,1.55634,0.344906
"MSTRG.29567",0.0619366,0.0107288,0.0263913,0.0537895,0.0431831,0.01307,0.0708178
"MSTRG.29568",21.2962,20.2091,18.7159,24.6989,27.834,25.709,18.5626
"MSTRG.29569",20.6294,15.8018,10.4199,15.7155,17.6747,13.3798,12.9284
"MSTRG.2957",5.43845,5.27268,1.3881,3.70656,7.27788,2.18878,9.26389
"MSTRG.29570",0.283815,0.480177,0.647295,0.402961,0.359734,0.328162,0.534215
"MSTRG.29571",0.33358,2.70338,0.645025,0.148366,0.40609,0.374368,0.490204
"MSTRG.29572",14.4667,12.1937,13.4833,15.1827,15.2544,14.7634,11.9162
"MSTRG.29573",0.869516,0.493782,0.41651,0.415799,0.556196,0.852236,0.719415
"MSTRG.29574",0.530344,1.06281,2.90453,0.538116,0.197728,0.819367,1.4487
"MSTRG.29575",173.837,331.199,394.997,176.802,173.451,231.576,211.266
"MSTRG.29576",3.43512,2.63137,3.66377,2.30677,1.88793,2.3944,3.17792
"MSTRG.29577",27.8712,19.3531,13.6954,20.6601,16.6621,16.8818,16.5518
"MSTRG.29578",117.185,16.3434,7.13994,83.1793,200.512,72.5196,29.8726
"MSTRG.29579",4.74818,8.4796,7.9456,2.1403,8.12745,2.52286,7.45724
"MSTRG.2958",14.9911,10.3951,16.2116,10.9834,7.61512,9.72355,11.7808
"MSTRG.29580",1.55044,1.37713,1.22756,0.96082,1.22377,0.963044,1.40492
"MSTRG.29581",59.4408,57.4671,59.7451,39.9862,52.1698,49.7531,52.7994
"MSTRG.29582",67.761,68.4273,77.939,76.9531,89.7589,91.3928,72.2686
"MSTRG.29583",0.0219536,0.00823533,0.00950123,0,0,0.0051236,6.80948
"MSTRG.29584",18.3529,29.007,21.1693,39.7642,60.1875,54.5123,25.2954
"MSTRG.29585",2.1329,2.34931,3.06476,2.60307,1.98752,2.04983,2.56605
"MSTRG.29586",36.1621,34.5922,36.4896,38.2651,34.2141,37.952,33.5823
"MSTRG.29587",6.36296,4.02414,2.32815,2.85796,3.51993,6.37378,4.80864
"MSTRG.29588",0.599594,0.74662,0.181649,0.576768,0.999503,1.06867,0.804313
"MSTRG.29589",2.52102,1.6537,1.75151,3.06928,2.85629,2.87683,2.02265
"MSTRG.2959",26.931,24.6484,29.9494,26.6152,26.5776,32.1932,30.3933
"MSTRG.29590",3.32842,1.30561,0.911477,1.34959,1.33072,1.30498,1.22172
"MSTRG.29591",0,0,5.01755,0.260799,0.638742,0.273581,0
"MSTRG.29592",2.81687,2.56345,1.2907,0.934027,1.58864,2.58703,1.84132
"MSTRG.29593",22.6739,26.7836,42.3318,24.7062,27.6988,22.6547,32.5141
"MSTRG.29594",6.5254,4.71025,6.76717,4.97839,5.38581,5.81595,5.67375
"MSTRG.29595",18.0986,17.5372,16.4383,19.4463,16.3407,16.7647,16.0748
"MSTRG.29596",13.7186,15.8953,3.82427,24.264,38.7983,34.1571,5.65921
