"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.1",31.5735,53.7328,13.4526,32.4062,99.2563,70.2652,15.1541
"MSTRG.10",9.85897,12.3108,9.08325,10.3997,12.5804,11.063,10.1888
"MSTRG.100",0.244051,0.549234,0.443011,0.460974,0.301253,0.385835,0.346227
"MSTRG.1000",0,0,0,0,0,0,0
"MSTRG.10000",7.65407,7.59196,8.86567,9.55455,8.1829,8.824,8.66187
"MSTRG.10001",0,0,0,0,0,0,0
"MSTRG.10002",3.75054,2.52423,2.3049,3.62106,2.79119,4.06973,3.3708
"MSTRG.10003",11.1988,1.12697,3.05135,12.9468,11.3455,1.34915,3.69763
"MSTRG.10004",11.1245,2.01909,3.25431,21.5963,6.50631,1.05347,3.52102
"MSTRG.10005",21.1851,21.368,25.338,23.2473,22.6965,18.5124,19.6764
"MSTRG.10006",26.7775,17.6183,16.8613,23.7832,25.2501,27.9027,21.1751
"MSTRG.10007",1.7894,1.20644,0.788677,1.05487,1.64435,0.860985,1.06255
"MSTRG.10008",0.378846,0.71754,0,0.391493,2.18319,0.16439,2.70934
"MSTRG.10009",0,0,0,0,0,0,0
"MSTRG.1001",0.339575,0.620471,1.25162,0.317243,0.323248,0.418798,1.58744
"MSTRG.10010",0,0.0544697,0.0500591,0.114405,0.0379259,0.0262312,0.0200608
"MSTRG.10011",1.41734,9.27516,11.069,3.26384,4.96586,6.76628,11.4798
"MSTRG.10012",5.21378,8.97513,16.2392,6.59745,6.89641,8.4084,12.8212
"MSTRG.10013",0,0,0,0,0,0,0
"MSTRG.10014",15.9408,18.8624,24.3712,19.4919,17.5415,19.8695,20.7686
"MSTRG.10015",121.724,84.52,108.943,102.508,90.2566,85.163,95.2121
"MSTRG.10016",5.54962,2.23333,2.36578,5.32091,4.75227,4.0584,2.43689
"MSTRG.10017",0.377745,0,0,0.581744,0.182137,0,0
"MSTRG.10018",35.6219,12.0103,25.7981,28.7787,21.6339,9.31323,24.6898
"MSTRG.10019",0,0,0,0,0,0,0
"MSTRG.1002",7.73558,4.79738,5.78702,13.5431,9.97891,7.46744,5.96351
"MSTRG.10020",11.1316,12.5035,15.202,12.9642,11.7426,14.8558,14.5445
"MSTRG.10021",1.87223,1.31384,1.093,1.42251,2.41968,1.60544,1.55128
"MSTRG.10022",5.61008,5.00587,4.38479,4.77313,4.66993,4.33458,4.61376
"MSTRG.10023",0.95991,0.809286,1.28409,0.296961,0.425471,0.509534,1.03462
"MSTRG.10024",31.854,34.6337,24.0947,37.2058,34.9218,27.0645,27.2175
"MSTRG.10025",0.812833,1.33749,1.5083,0.724935,0.54799,0.249284,1.81115
"MSTRG.10026",4.53503,3.30743,2.72271,3.21326,3.90792,2.24848,3.85293
"MSTRG.10027",77.6406,16.7829,37.6894,58.1232,35.9963,16.8218,36.8007
"MSTRG.10028",11.9965,12.1262,14.3215,12.7552,12.1952,11.8682,12.6852
"MSTRG.10029",15.0076,13.7451,12.2653,12.0992,13.5599,12.0379,12.2507
"MSTRG.1003",14.6602,16.0993,10.6673,16.0994,10.8504,7.67502,12.4569
"MSTRG.10030",11.4482,18.5924,36.1373,10.7628,12.1205,19.0393,27.6753
"MSTRG.10031",19.7501,2.18738,2.43028,7.37069,14.4981,4.08291,3.10751
"MSTRG.10032",21.551,29.7842,30.3611,19.1753,28.4532,27.1176,24.8886
"MSTRG.10033",0.79476,1.26337,1.3062,1.06584,1.0157,1.22428,1.30103
"MSTRG.10034",14.0524,14.0656,12.1774,12.2165,15.4287,12.4272,12.9987
"MSTRG.10035",7.9413,7.04141,7.06583,8.29338,8.8874,7.25275,6.72255
"MSTRG.10036",18.7808,23.6179,44.6149,26.7109,22.0562,25.7104,25.8799
"MSTRG.10037",2.27986,3.69679,3.89231,2.87045,2.14944,3.29475,3.74862
"MSTRG.10038",0.544885,0.439573,0.621066,0.438063,0.670423,0.410837,0.356415
"MSTRG.10039",5.88597,7.22375,6.32969,7.38567,8.19578,7.01818,6.80052
"MSTRG.1004",20.3965,18.6933,19.4874,26.5876,14.8545,15.6678,19.9948
"MSTRG.10040",2.74491,2.4516,3.23629,2.88029,2.40572,3.11836,2.62872
"MSTRG.10041",0,0,0,0,0,0,0
"MSTRG.10042",22.5605,14.9911,16.0231,21.412,16.0129,15.4789,15.8549
"MSTRG.10043",2.89537,3.28744,5.4481,12.1836,1.09777,4.43582,7.28996
"MSTRG.10044",5.59995,6.75582,6.52582,6.99831,5.14692,6.58337,5.62864
"MSTRG.10045",7.28942,5.76632,3.5601,6.61443,4.60589,6.43573,4.17771
"MSTRG.10046",12.5063,12.5318,11.5577,15.8742,13.3569,19.7649,13.2865
"MSTRG.10047",0.810456,0.487541,0.255936,1.51766,1.08463,1.88405,4.33276
"MSTRG.10048",1.41054,2.78276,3.14572,4.62959,2.83859,1.7327,4.25414
"MSTRG.10049",1.2538,9.93103,19.3685,1.40981,0.70889,0.654713,13.85
"MSTRG.1005",3.04668,4.55795,5.10894,3.13188,3.09963,3.24624,4.92417
"MSTRG.10050",12.2506,14.3522,11.8807,12.5585,14.7508,18.1255,12.2908
"MSTRG.10051",8.12402,6.06099,3.22928,4.21774,3.90807,4.62426,4.4101
"MSTRG.10052",13.1219,14.179,14.3193,16.2693,14.4236,15.7921,13.2256
"MSTRG.10053",57.736,59.5672,47.7954,54.5254,66.0373,59.1445,52.0835
"MSTRG.10054",3.09066,4.06679,4.56071,2.27661,3.20127,3.23289,3.81315
"MSTRG.10055",8.90157,3.66595,3.39537,4.50775,4.03831,4.86213,3.61575
"MSTRG.10056",3.90613,4.21957,2.69004,2.58198,4.66063,3.42837,3.24776
"MSTRG.10057",3.35213,3.51926,6.10594,4.24039,3.05951,4.28475,4.59736
"MSTRG.10058",0.504171,0.437384,0.88598,0.543447,0.193114,0.609986,0.473883
"MSTRG.10059",0.255004,0.238643,0.760559,0.321887,0.251639,0.181998,0.635792
"MSTRG.1006",33.7684,184.473,463.4,8.12253,13.7876,8.15822,303.445
"MSTRG.10060",0.151766,0.28858,0,0,0.100873,0,27.9391
"MSTRG.10061",0.0375078,0.042025,0,0,0,0.0623858,12.8495
"MSTRG.10062",20.8608,21.1203,21.265,21.1788,20.6459,19.9992,19.2324
"MSTRG.10063",0,0,0,0,0,0,0
"MSTRG.10064",0,0.244191,0,0,0,0.051656,14.4327
"MSTRG.10065",14.6033,14.5726,10.2916,11.1058,14.3511,16.2717,12.1606
"MSTRG.10066",42.5849,45.9418,49.1993,47.2397,45.2419,39.1214,54.7212
"MSTRG.10067",32.9672,38.087,38.4212,28.7426,33.5956,27.1458,39.5316
"MSTRG.10068",10.9555,11.2278,13.3816,12.5226,11.3373,13.306,11.9587
"MSTRG.10069",68.6517,64.4657,56.4701,60.8379,64.056,52.0396,48.2467
"MSTRG.1007",45.448,49.5157,51.2048,32.2683,13.9698,34.9199,37.3729
"MSTRG.10070",80.513,110.107,70.7304,73.1048,75.8285,85.7738,76.568
"MSTRG.10071",0,0,0,0,0,0,0
"MSTRG.10072",0,0,0,0.0159433,0,0,0
"MSTRG.10073",28.564,28.4665,32.7875,31.6666,27.4881,31.7499,32.3206
"MSTRG.10074",2.61244,2.55166,3.35231,4.18859,2.23624,1.61213,2.47555
"MSTRG.10075",41.64,40.6861,44.6369,40.9722,41.326,37.8297,40.8535
"MSTRG.10076",0,0,0,0,0,0,0
"MSTRG.10077",36.0746,43.6361,41.0594,42.4048,47.7487,59.1334,40.2942
"MSTRG.10078",95.3466,122.742,126.281,115.832,119.945,158.84,125.083
"MSTRG.10079",55.1611,54.681,46.1185,53.0679,62.6621,52.5877,47.1744
"MSTRG.1008",67.8572,110.619,257.123,75.4814,53.4144,45.7595,180.727
"MSTRG.10080",62.7933,71.3245,52.2801,64.9353,62.0013,61.4237,53.669
"MSTRG.10081",2119.09,1395.51,746.002,1206.14,2791.27,1648.79,1001.41
"MSTRG.10082",0.149797,0.0920358,0.0258114,0.136217,0.202488,0.0240068,0.0201046
"MSTRG.10083",0.809505,1.09644,1.76462,0.856209,1.02147,1.19516,1.40408
"MSTRG.10084",47.706,118.626,71.815,67.3014,59.1594,43.902,120.012
"MSTRG.10085",3.76079,1.55117,1.00443,3.54373,2.16247,0.721464,1.46565
"MSTRG.10086",9.66025,10.9373,10.3655,9.94289,10.0611,12.3689,11.9475
"MSTRG.10087",24.9595,23.0942,25.1757,24.969,27.6065,25.5186,25.0407
"MSTRG.10088",0,0,0,0,0,0,0
"MSTRG.10089",63.7155,26.4752,57.8288,86.8659,94.5916,134.045,48.9587
"MSTRG.1009",0,0,0,0,0,0,0
"MSTRG.10090",0.0374803,0.0154708,3.24009,0.0906307,0.0727336,0.0245602,0.426932
"MSTRG.10091",51.9335,41.1273,39.8659,40.9272,48.9899,40.902,35.9406
"MSTRG.10092",1.64732,1.5543,2.70962,2.82278,1.61826,1.45743,1.70211
"MSTRG.10093",7.82697,7.5539,8.18541,7.85857,6.86793,7.8861,9.00796
"MSTRG.10094",13.2348,19.3518,22.6588,27.8571,18.5917,25.6169,22.5507
"MSTRG.10095",3.73806,4.95843,4.0115,4.33179,4.41285,4.57413,3.74461
"MSTRG.10096",12.8412,13.0256,14.9146,13.5131,12.6801,13.9454,13.1106
"MSTRG.10097",14.567,17.7046,18.9062,17.1621,18.0397,16.2027,15.878
"MSTRG.10098",19.4406,38.1253,117.719,23.9019,15.154,38.6186,69.8946
"MSTRG.10099",7.66486,7.04676,9.82726,8.1818,6.82031,7.35298,8.15976
"MSTRG.101",0.263447,0.0844553,0.16988,0.0846198,0.0321196,0.081156,0.155169
"MSTRG.1010",19.1239,25.995,22.1751,21.1142,20.1856,20.6867,25.0087
"MSTRG.10100",3.50895,4.01112,5.13246,5.36571,5.19285,4.56883,6.03265
"MSTRG.10101",1.77875,1.94947,2.31425,2.15643,1.77351,1.84764,2.02848
"MSTRG.10102",0.944315,1.59538,0.858949,1.26745,1.39448,1.33481,0.997623
"MSTRG.10103",0,0,2.7136,0,0,0.156673,0
"MSTRG.10104",59.9987,36.2269,50.3533,65.7388,46.131,43.5473,50.9281
"MSTRG.10105",37.1309,52.6572,44.4738,40.9622,35.9677,44.5036,37.662
"MSTRG.10106",0,0,1.1426,0,0,0,0
"MSTRG.10107",1.63893,0.918647,0.923188,1.05552,1.01057,1.35379,0.984172
"MSTRG.10108",6.84642,6.83914,7.12688,7.66268,7.15367,6.83397,6.77873
"MSTRG.10109",2.1558,3.46601,4.17883,1.94633,2.30449,2.4686,3.70158
"MSTRG.1011",6.08748,7.72518,7.21602,6.56274,5.52722,6.569,6.6206
"MSTRG.10110",3.25457,5.79623,8.84948,4.64482,4.58125,5.25513,5.60868
"MSTRG.10111",58.6802,54.7173,60.1549,68.7801,43.7332,83.5244,62.1299
"MSTRG.10112",16.9975,7.65338,10.7012,24.5189,18.1965,7.6001,31.8558
"MSTRG.10113",14.3171,53.7415,21.1805,14.6563,13.1245,12.1847,40.7607
"MSTRG.10114",9.43636,9.96289,9.48456,8.9502,8.59526,8.68058,8.57578
"MSTRG.10115",6.275,4.60647,3.80551,4.0032,3.86218,4.75921,3.74066
"MSTRG.10116",161.364,147.239,73.2546,88.0139,155.465,107.566,97.0345
"MSTRG.10117",425.909,422.582,299.686,378.992,419.827,416.473,295.268
"MSTRG.10118",50.0788,59.0598,54.9743,54.0922,50.81,53.3806,49.5777
"MSTRG.10119",11.3677,11.0492,14.0393,13.0164,11.937,11.1475,11.4732
"MSTRG.1012",0.00983024,0.0948579,0.0158039,0,0.0133249,0.00706702,0
"MSTRG.10120",12.9172,17.1548,24.9063,21.8281,13.7132,15.4041,21.2047
"MSTRG.10121",0.152404,0.0922153,0.120094,0.125154,0.224148,0.108247,0.265367
"MSTRG.10122",0,0,0,0,0,0,0
"MSTRG.10123",7.98709,19.261,12.7018,8.22689,7.87602,5.60509,14.0359
"MSTRG.10124",0.96045,0.791225,1.02729,1.03817,0.770034,0.908548,1.29463
"MSTRG.10125",0,0,0,0,0,0,0
"MSTRG.10126",0,0,0,0,0,0,0
"MSTRG.10127",0,0.0912543,0,0.146435,0.108207,0,0
"MSTRG.10128",7.85972,5.73298,3.14911,4.17495,4.02432,6.19954,5.3326
"MSTRG.10129",0,0,0,0,0,0,6.46451
"MSTRG.1013",0,0,0.021483,0.0132824,0.0468543,0,0.0173018
"MSTRG.10130",0,0,0,0,0,0,10.2985
"MSTRG.10131",1.70276,2.46891,3.65267,1.89244,2.38462,2.71928,3.73911
"MSTRG.10132",2.35093,2.22036,1.32039,1.49018,0.60085,1.22041,1.55575
"MSTRG.10133",26.1328,30.0169,24.7252,27.2849,30.8692,29.9231,25.4142
"MSTRG.10134",15.4981,30.996,55.2657,11.5936,13.2039,10.696,42.947
"MSTRG.10135",2.22508,1.59066,0.977073,1.37373,1.35775,1.30374,1.30257
"MSTRG.10136",1.7203,4.00045,1.4417,1.56047,6.75371,2.59767,1.54012
"MSTRG.10137",29.0374,28.5502,34.4506,35.3246,34.4676,34.3972,31.8175
"MSTRG.10138",13.3885,13.3162,13.0699,13.2765,14.7527,14.3981,13.1218
"MSTRG.10139",83.9204,96.7963,83.366,98.4923,93.4784,84.5144,78.011
"MSTRG.1014",3.40261,3.64036,4.24265,4.40481,3.25506,3.95323,3.88831
"MSTRG.10140",1.3198,0.977867,0.0952481,1.6622,0.749018,1.14907,1.30969
"MSTRG.10141",16.2408,17.6873,13.2346,15.666,15.4208,13.5091,13.8525
"MSTRG.10142",1.03171,3.06498,5.65728,0.922609,1.02781,0.642333,4.37973
"MSTRG.10143",26.7375,29.3962,27.5855,29.1708,24.9278,26.0853,27.3033
"MSTRG.10144",9.53025,9.70977,8.91368,9.4117,9.24157,9.15681,10.5499
"MSTRG.10145",7.7925,8.36606,10.3961,9.21781,7.73481,7.57841,8.78377
"MSTRG.10146",6.91627,8.51979,7.33174,7.78088,8.7788,8.41792,7.60753
"MSTRG.10147",25.055,14.9728,15.1929,18.3676,15.2894,15.3757,16.0131
"MSTRG.10148",0.096694,5.9279,3.46452,0.907765,2.63515,4.3099,2.53603
"MSTRG.10149",0.0676729,0.285508,0.0858372,0.166129,0.43783,0.200055,0.1477
"MSTRG.1015",11.2076,17.4456,17.9364,16.2759,12.2005,13.0204,14.4382
"MSTRG.10150",16.3971,13.037,6.09366,8.17392,6.18275,11.7688,7.98595
"MSTRG.10151",91.3495,75.8298,53.5129,103.745,140.855,87.8551,56.3446
"MSTRG.10152",3.48329,3.79356,4.75103,3.33761,4.19677,3.35585,4.33277
"MSTRG.10153",64.6296,56.7986,55.9252,62.0628,71.0183,60.2552,51.5472
"MSTRG.10154",25.0067,38.61,39.3221,31.4739,31.0966,38.4075,43.0779
"MSTRG.10155",0.947401,1.76317,2.22272,1.4298,1.02639,1.4469,1.91359
"MSTRG.10156",186.487,537.072,429.106,256.298,260.582,326.721,647.119
"MSTRG.10157",5.61596,3.5628,5.48411,4.9045,2.60039,3.72974,4.32055
"MSTRG.10158",2.29972,1.95075,3.09303,1.91655,1.36389,1.49145,2.32666
"MSTRG.10159",112.655,113.493,93.8853,108.305,116.413,111.935,100.601
"MSTRG.1016",0.483005,0.128192,0.127269,0.10325,0.329832,0.062344,0
"MSTRG.10160",56.2696,66.1009,77.6551,59.9215,63.5326,88.2434,84.0975
"MSTRG.10161",22.0699,21.8457,19.563,19.6256,18.0851,16.8079,17.2955
"MSTRG.10162",0.278277,0.22813,0.577788,0.597588,0.57925,0.32761,0.435954
"MSTRG.10163",1.48613,0.915923,1.4433,1.17336,0.9823,0.914252,1.39316
"MSTRG.10164",8.74686,7.0946,6.64683,6.3201,8.7522,5.59149,6.37971
"MSTRG.10165",0.985823,0.821705,1.33318,1.18499,0.60902,0.395788,0.53168
"MSTRG.10166",9.12363,10.5099,8.19603,10.9759,13.2125,9.75055,9.20888
"MSTRG.10167",1.9749,1.00644,0.909291,0.174285,1.31686,0.578341,1.13083
"MSTRG.10168",291.354,204.398,228.324,155.312,159.38,169.912,196.615
"MSTRG.10169",0,0,0,0,0,0,0
"MSTRG.1017",8.45571,8.95772,11.1365,9.82068,8.26,9.03712,9.74341
"MSTRG.10170",35.5669,19.3055,34.756,12.4583,9.56649,10.5226,25.695
"MSTRG.10171",0.0285589,0.0223708,0.0303126,0.0193595,0,0.0179377,0.00998162
"MSTRG.10172",9.94395,10.3668,12.1621,11.4761,11.0862,11.418,10.2608
"MSTRG.10173",85.1452,67.0308,33.8676,47.0423,45.5646,56.4438,39.2777
"MSTRG.10174",1.85429,2.10525,0.883022,1.29566,2.36315,1.09675,2.44907
"MSTRG.10175",98.9513,92.0964,72.8852,96.8963,84.181,84.8088,71.3973
"MSTRG.10176",6.97917,3.64119,1.4085,5.35433,5.5648,5.60117,2.56923
"MSTRG.10177",32.6405,42.2618,22.1113,22.4964,28.9229,35.5065,28.2866
"MSTRG.10178",0.967458,1.06963,0.671426,0.737237,0.714825,0.564262,0.864514
"MSTRG.10179",11.1773,11.568,10.7099,13.2794,9.99271,10.2712,10.8998
"MSTRG.1018",11.4415,12.4885,16.4206,12.4833,13.2357,13.3577,15.2668
"MSTRG.10180",0,0,0,0,0,0,0
"MSTRG.10181",5.07724,4.27696,4.45329,4.33387,4.22559,5.29543,4.32984
"MSTRG.10182",25.6051,20.6508,23.2942,23.7971,19.7117,17.7941,20.8379
"MSTRG.10183",38.6552,77.4923,59.3316,138.218,115.656,159.981,55.2645
"MSTRG.10184",5.74153,6.83475,2.11435,25.2593,36.9641,29.7784,6.55715
"MSTRG.10185",0.768909,0,0,0.561579,2.60251,0.265467,0.227208
"MSTRG.10186",43.5125,44.9835,29.873,50.863,68.4111,55.8516,42.2739
"MSTRG.10187",2.08705,2.60182,3.16576,3.07056,2.5934,3.52041,3.27451
"MSTRG.10188",3.85083,0.823974,0.359178,1.68909,2.07785,0.708521,0.557272
"MSTRG.10189",6.97669,10.2047,8.50715,9.21621,9.53551,8.92549,9.71249
"MSTRG.1019",15.6002,18.7805,16.7464,16.9531,16.3741,17.5624,14.3393
"MSTRG.10190",35.2192,35.6453,36.6202,35.8932,39.1285,34.6264,35.3004
"MSTRG.10191",0.452081,1.68688,0.135802,0.522401,1.36944,0.496842,0.445071
"MSTRG.10192",26.6059,32.4745,29.6098,30.6052,30.5221,27.7094,31.1299
"MSTRG.10193",2.23968,1.53957,1.30768,1.55528,1.60448,2.73446,1.61629
"MSTRG.10194",22.3717,17.4075,20.5238,21.2301,22.5244,20.5834,19.9555
"MSTRG.10195",1.07734,1.2337,0.809532,1.23903,0.734097,1.20068,1.22465
"MSTRG.10196",7.55008,7.52096,9.83705,9.04704,7.58343,7.74453,8.57949
"MSTRG.10197",30.0651,36.4486,30.7427,32.6208,34.6837,36.4283,32.1526
"MSTRG.10198",1.97526,2.67595,3.41867,2.38585,3.92373,3.15885,3.03142
"MSTRG.10199",23.948,42.0504,39.68,29.6799,30.8618,38.0908,35.6172
"MSTRG.102",30.0421,34.6949,29.5127,34.2102,35.8786,35.6463,28.8685
"MSTRG.1020",0,0,0,0,0,0,0
"MSTRG.10200",0.0358213,0.063052,0.0123447,0.629075,0.110306,0.718818,0
"MSTRG.10201",4.98528,5.70174,2.0427,7.10548,14.277,8.68312,3.813
"MSTRG.10202",5.89109,10.1305,9.5474,7.12391,17.2662,9.36629,7.42459
"MSTRG.10203",36.9896,30.5452,19.1076,21.2831,28.7656,25.5322,19.5785
"MSTRG.10204",0.240974,0.246433,0.304545,0.239451,0.214986,0.17652,0.252935
"MSTRG.10205",0,2.44783,0.37134,1.28913,0,3.47968,2.49151
"MSTRG.10206",9.36914,6.75785,6.3702,7.42253,7.61428,7.00671,6.463
"MSTRG.10207",8.4579,7.26686,8.73159,8.1775,7.63384,8.7432,9.25235
"MSTRG.10208",9.78607,8.96381,10.8049,10.8233,9.55152,9.01905,9.08686
"MSTRG.10209",19.4547,16.184,18.3494,19.0822,19.1167,17.5694,17.8585
"MSTRG.1021",24.1473,27.7236,27.0488,26.6225,25.7937,27.4229,25.5793
"MSTRG.10210",0,0,0,0,0,0,0
"MSTRG.10211",34.8404,54.3581,136.531,61.5531,63.5428,55.2704,97.0754
"MSTRG.10212",0,0,0,0,0,0,0
"MSTRG.10213",21.4585,20.7058,21.1935,24.5374,26.9301,17.6912,22.0856
"MSTRG.10214",0,0,0,0,0,0,0
"MSTRG.10215",14.8945,14.74,14.0352,16.7797,14.5966,14.5633,14.2779
"MSTRG.10216",7.52479,6.59036,6.82917,8.98164,9.30495,8.36449,6.28823
"MSTRG.10217",29.3253,25.2117,39.3153,30.036,25.6228,26.634,32.7886
"MSTRG.10218",22.4168,20.0155,20.5668,18.5641,17.9135,14.3455,20.4341
"MSTRG.10219",1.49976,0.762482,1.44234,3.76271,3.42926,5.02189,1.12874
"MSTRG.1022",6.6386,6.47897,6.9583,6.61216,6.03083,7.50361,5.73954
"MSTRG.10220",0,0.140578,0.0110378,0.164859,1.73418,0.111077,0.0199476
"MSTRG.10221",1.36878,21.7749,0.836825,1.87745,26.8342,2.51239,2.52725
"MSTRG.10222",21.3763,24.0488,22.1867,27.3244,27.5425,27.3972,22.3624
"MSTRG.10223",8.02714,8.4747,8.87041,9.21605,10.7374,9.92628,7.07859
"MSTRG.10224",8.22371,8.95212,8.76071,9.97786,8.49117,9.38611,8.57583
"MSTRG.10225",83.5296,92.8369,82.2311,91.5929,95.2835,109.441,71.6678
"MSTRG.10226",1.8138,1.90318,1.76898,2.25559,2.902,1.78817,3.30004
"MSTRG.10227",17.685,17.1663,20.9318,22.5248,18.9152,21.0328,19.1707
"MSTRG.10228",12.2059,13.6058,13.2484,14.0883,13.8292,13.2002,14.5352
"MSTRG.10229",36.5883,43.9874,48.7276,39.1598,37.2299,36.574,36.166
"MSTRG.1023",43.5078,46.7735,54.195,52.1999,55.5589,53.7385,48.789
"MSTRG.10230",7.3772,7.34453,6.72115,7.54602,7.99704,8.72592,7.1041
"MSTRG.10231",0.0891621,0.0600542,0.431258,0.011314,0.0307039,0.0377868,0.0820942
"MSTRG.10232",4.03621,4.22796,3.71964,4.61254,4.67368,4.0714,3.97687
"MSTRG.10233",0,0,0,0,0,0,0
"MSTRG.10234",4.50941,5.91943,7.70591,4.06075,2.64797,3.08833,5.91988
"MSTRG.10235",22.086,13.463,17.7929,16.5667,14.4546,14.2173,16.8065
"MSTRG.10236",0.878933,0.642289,1.10163,1.04877,0.721374,0.651884,0.914341
"MSTRG.10237",0,0.180418,0.542295,0.149787,0.0993357,0.275437,0.103124
"MSTRG.10238",0.601596,0.944664,0.694207,0.610745,1.0706,0.726906,0.820692
"MSTRG.10239",9.31901,13.5425,17.2328,10.5418,10.3321,11.0046,15.6649
"MSTRG.1024",212.365,229.529,150.16,199.586,230.374,226.887,148.618
"MSTRG.10240",15.4996,15.0698,26.2086,21.1023,17.2999,19.9974,20.3372
"MSTRG.10241",13.9845,10.6316,10.9641,16.5489,14.2988,13.8065,9.81445
"MSTRG.10242",0,0,0,0,0,0,0
"MSTRG.10243",12.8313,10.1447,12.4776,11.8538,7.83003,10.1464,11.1183
"MSTRG.10244",0,0,9.62984,0,0,0,0
"MSTRG.10245",194.07,35.974,59.0941,245.129,142.943,67.5888,64.0366
"MSTRG.10246",0.865416,0.592653,0.450258,0.311074,0.719594,0.536106,0.552007
"MSTRG.10247",1.30561,1.71473,3.6142,1.63483,1.419,0.775752,3.16493
"MSTRG.10248",0,1.29223,0.996818,0,0.180869,0,0
"MSTRG.10249",0,0,0,0,0,27.2138,0
"MSTRG.1025",0,0,0.0133683,0.0080766,0,0,0
"MSTRG.10250",5.18913,4.61649,5.00134,8.86924,6.36933,5.98804,3.98025
"MSTRG.10251",0,1.87815,5.94923,3.15768,1.69435,3.49373,3.17852
"MSTRG.10252",2.25593,2.48417,2.22415,2.4845,2.19459,2.44865,2.33492
"MSTRG.10253",1.04866,0.322319,0,0.570714,1.03988,0.216715,0.0618312
"MSTRG.10254",1.75777,0.601948,0.00662786,0.775702,1.41044,0.25187,0.0832665
"MSTRG.10255",105.878,104.375,136.87,127.76,179.349,218.696,121.963
"MSTRG.10256",29.3224,31.6556,46.2757,36.6197,32.8005,35.8571,42.7229
"MSTRG.10257",597.469,783.324,341.482,438.694,607.23,642.917,375.018
"MSTRG.10258",41.4237,52.0681,44.7599,35.3918,53.8007,29.9429,36.9522
"MSTRG.10259",9.54362,2.62373,2.41393,4.48084,2.94906,4.23096,2.39116
"MSTRG.1026",0.107681,0.2392,0.298376,0.0762913,0.0685986,0.0437659,0.166035
"MSTRG.10260",14.726,16.82,16.5231,11.5566,9.66441,14.3994,15.2483
"MSTRG.10261",171.557,182.284,239.601,191.35,152.841,183.757,230.277
"MSTRG.10262",0,0,0,0,0,0,0
"MSTRG.10263",51.7903,50.086,108.723,50.6158,36.588,43.4139,89.2563
"MSTRG.10264",12.5276,12.9068,4.29339,10.9266,8.61979,7.55513,9.94296
"MSTRG.10265",16.9048,11.6631,12.248,13.1916,14.4953,13.3857,11.2618
"MSTRG.10266",25.621,16.767,19.472,25.676,25.0734,12.5118,19.509
"MSTRG.10267",2.38759,2.25329,2.34072,2.51898,3.82373,2.39247,3.04351
"MSTRG.10268",100.268,116.298,97.0296,84.739,82.7908,116.028,88.604
"MSTRG.10269",1.07371,7.66514,8.38089,1.01189,6.24549,8.82459,3.09279
"MSTRG.1027",0,0,0,0,0,0,0
"MSTRG.10270",0,0.22546,1.42782,0,0.214548,0.2753,0.306695
"MSTRG.10271",2.46297,14.7018,12.8137,3.62297,15.7143,20.3176,9.13177
"MSTRG.10272",3.4344,3.83309,3.76297,3.93,3.89011,3.92538,3.50913
"MSTRG.10273",13.7596,12.145,17.143,10.1521,9.63368,10.9636,13.626
"MSTRG.10274",8.6726,12.3537,18.7964,11.6014,13.6688,13.9538,16.9192
"MSTRG.10275",36.3034,37.3367,39.4471,39.7976,40.9479,44.1553,38.9161
"MSTRG.10276",5.14041,0,3.22695,8.74224,2.25571,3.20407,0
"MSTRG.10277",2.68093,2.96883,3.39886,3.3476,3.01286,3.23453,3.00994
"MSTRG.10278",34.3376,39.2816,28.9924,35.2898,31.1381,32.3681,29.8779
"MSTRG.10279",13.4952,9.36279,13.5554,13.1484,14.1397,13.6562,11.7676
"MSTRG.1028",0,0,0,0,0,0,0
"MSTRG.10280",4.06431,4.03859,3.3014,4.10094,4.29901,4.01093,4.39947
"MSTRG.10281",8.4402,11.5181,10.0074,10.2011,9.94358,11.1728,10.9206
"MSTRG.10282",0.122874,0.343909,0.0652131,0.160558,0.02577,0.0549913,0.315821
"MSTRG.10283",76.3041,125.962,61.9658,80.227,85.1412,60.4029,81.6913
"MSTRG.10284",24.6811,94.5585,36.0174,33.2015,19.685,20.0197,55.9809
"MSTRG.10285",0,0,0,0,0,0.498027,0
"MSTRG.10286",0,0,0,0,0,0,0
"MSTRG.10287",0,0,0,0,0,0,0
"MSTRG.10288",66.3681,70.2855,68.3498,71.9159,67.8487,88.0873,66.2714
"MSTRG.10289",752.233,247.377,216.625,570.478,392.349,169.096,245.191
"MSTRG.1029",0,0,0,0,0,0,0
"MSTRG.10290",10.9873,0,3.65507,12.1011,0.643308,0,0
"MSTRG.10291",0,0,0,0,0,0,0
"MSTRG.10292",0,0,0,0,0.00654976,0,0
"MSTRG.10293",2.70051,3.36898,3.03742,2.97782,2.9554,2.82142,2.76353
"MSTRG.10294",4.23534,2.87795,2.6627,3.99521,3.44195,3.26019,2.74403
"MSTRG.10295",21.3352,18.1454,19.3394,22.1634,22.1996,21.7693,20.1402
"MSTRG.10296",13.0627,16.6288,2.81338,18.9772,11.1378,5.66087,16.4782
"MSTRG.10297",0,0,0,0,0,0,0
"MSTRG.10298",224.361,228.398,170.75,224.567,260.965,229.179,163.468
