"","name","betweenness","closeness","degree"
"OTU297","OTU297",144,0.00229211649452872,9
"OTU113","OTU113",430.25,0.00250364906851736,37
"OTU231","OTU231",420,0.00197489903328692,12
"OTU382","OTU382",102,0.00222947047846666,6
"OTU860","OTU860",27.6428571428571,0.00214928965976745,17
"OTU57","OTU57",48.5,0.00239661023448435,50
"OTU469","OTU469",155,0.00203762681679901,11
"OTU501","OTU501",237,0.0024136923942139,12
"OTU333","OTU333",242,0.0021675188628329,6
"OTU18","OTU18",27,0.00247435332775779,65
"OTU177","OTU177",263,0.00241313323632538,12
"OTU1451","OTU1451",9.25,0.00187745124728474,4
"OTU62","OTU62",124,0.00245836150205888,65
"OTU5","OTU5",51,0.00241600749928728,63
"OTU646","OTU646",31.9222222222223,0.00192968237428119,11
"OTU115","OTU115",116,0.00233725134567246,26
"OTU123","OTU123",142.5,0.00234464939285304,12
"OTU456","OTU456",27,0.00196031537553762,4
"OTU20","OTU20",858.875,0.00264893645201452,19
"OTU251","OTU251",141,0.00215166668101111,9
"OTU471","OTU471",187,0.00254923854244737,20
"OTU29","OTU29",38.75,0.00213079683278359,25
"OTU98","OTU98",29,0.00211685460807495,5
"OTU506","OTU506",39.2857142857143,0.00216582885187247,19
"OTU502","OTU502",111,0.00222654667064476,9
"OTU64","OTU64",256.333333333333,0.00204602324691613,10
"OTU17","OTU17",41,0.00190801825591867,5
"OTU86","OTU86",392.5,0.0025007752403245,54
"OTU162","OTU162",83,0.00207985391106128,4
"OTU71","OTU71",401.25,0.00258395262064475,57
"OTU682","OTU682",473.625,0.00228623162727108,18
"OTU429","OTU429",138.2,0.0025892984295905,28
"OTU270","OTU270",473.125,0.00204544989670478,17
"OTU219","OTU219",379.25,0.00233863970682813,13
"OTU688","OTU688",35.125,0.00205045766215019,8
"OTU116","OTU116",50.5,0.00210963343009519,7
"OTU58","OTU58",435.5,0.00250100665517871,29
"OTU139","OTU139",215,0.00245024772004449,14
"OTU944","OTU944",138.8,0.00190261285823822,11
"OTU97","OTU97",501,0.00260304816940637,63
"OTU120","OTU120",352.25,0.00244835800870146,15
"OTU289","OTU289",38.2857142857143,0.00216582885187247,19
"OTU612","OTU612",38,0.00189467860566812,15
"OTU692","OTU692",320,0.00242332009392789,16
"OTU202","OTU202",65.75,0.00218455085634393,5
"OTU369","OTU369",406.25,0.00220221146074889,11
"OTU24","OTU24",317.5,0.00264362832700625,57
"OTU142","OTU142",17,0.00198265179677819,3
"OTU33","OTU33",6,0.00205689367916572,11
"OTU258","OTU258",616.5,0.00230927149412175,15
"OTU513","OTU513",204.25,0.00254372666130788,25
"OTU154","OTU154",88.5,0.00221837211417518,12
"OTU1417","OTU1417",27.6428571428571,0.00214928965976745,17
"OTU169","OTU169",321.25,0.00242747317035278,24
"OTU101","OTU101",243,0.00226661257017999,8
"OTU56","OTU56",621.125,0.00258758991874968,25
"OTU587","OTU587",609,0.00224853002349714,14
"OTU128","OTU128",352.75,0.00243821561628338,15
"OTU1484","OTU1484",126.333333333333,0.002283589894658,18
"OTU435","OTU435",448,0.00217618857979757,11
"OTU410","OTU410",1311.33333333333,0.00267556380818348,35
"OTU377","OTU377",596.25,0.00246187782192745,27
"OTU1","OTU1",86,0.00222718637318289,24
"OTU238","OTU238",38.7857142857143,0.00216582885187247,19
"OTU132","OTU132",329.5,0.0024136923942139,16
"OTU66","OTU66",499,0.00256381988652533,51
"OTU252","OTU252",1021.25,0.00272732975325848,26
"OTU53","OTU53",294.333333333333,0.00217638276478961,9
"OTU37","OTU37",75,0.00238350045644034,50
"OTU330","OTU330",35,0.00181668222957777,7
"OTU390","OTU390",442.027777777778,0.00236987603178478,16
"OTU119","OTU119",68.5,0.00240792109724148,17
"OTU1109","OTU1109",30.1428571428571,0.00214928965976745,17
"OTU334","OTU334",679.5,0.00246049672507886,25
"OTU180","OTU180",420,0.00249980001599872,21
"OTU78","OTU78",36.1666666666667,0.00196737695532677,9
"OTU121","OTU121",573.75,0.00259641798175237,30
"OTU494","OTU494",16.5333333333333,0.00215798151041442,11
"OTU41","OTU41",165.5,0.00247286647262908,33
"OTU204","OTU204",333.5,0.00231498093613199,10
"OTU277","OTU277",343.5,0.00254300863351431,14
"OTU26","OTU26",227,0.00217055340429596,9
"OTU517","OTU517",160.714285714286,0.00197381146942369,13
"OTU474","OTU474",221.833333333333,0.00222735999928724,11
"OTU870","OTU870",16.5333333333333,0.00215798151041442,11
"OTU176","OTU176",141.25,0.00230300657508377,10
"OTU1532","OTU1532",35.1666666666667,0.00196737695532677,9
"OTU54","OTU54",774,0.00269585377689114,44
"OTU72","OTU72",19.0333333333333,0.00215798151041442,11
"OTU96","OTU96",89.5,0.00228670737005785,30
"OTU300","OTU300",453.527777777778,0.00236987603178478,16
"OTU107","OTU107",695.75,0.00259264156471104,29
"OTU36","OTU36",154,0.00257550743935324,55
"OTU34","OTU34",131,0.00243338605669789,21
"OTU381","OTU381",961.375,0.00239703534668322,18
"OTU616","OTU616",42.7857142857143,0.00216582885187247,19
"OTU25","OTU25",171.5,0.00235980404187236,19
"OTU1150","OTU1150",310.111111111111,0.00188217933781167,8
"OTU61","OTU61",227.5,0.00250068768911451,53
"OTU257","OTU257",380.944444444444,0.00226011173992442,15
"OTU259","OTU259",173.5,0.00237683818723305,13
"OTU271","OTU271",160.75,0.00238973751123176,24
"OTU7","OTU7",68,0.00253044761087789,60
