Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Cellular component,plastid stroma,GO:0009532,6,2.47E-12,7.811603144,19,5.21E+02,84,17993,"Medtr7g079900,Medtr5g022300,Medtr3g449930,Medtr5g098785,Medtr2g029370,Medtr4g015570,Medtr4g005390,Medtr8g005175,Medtr4g066170,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g063670,Medtr8g078870,Medtr7g099390,Medtr2g101820,Medtr3g435460,Medtr1g087030,",1.29E-11
Cellular component,chloroplast stroma,GO:0009570,7,1.53E-11,7.619847544,18,5.06E+02,84,17993,"Medtr7g079900,Medtr5g022300,Medtr3g449930,Medtr5g098785,Medtr2g029370,Medtr4g015570,Medtr4g005390,Medtr8g005175,Medtr4g066170,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g063670,Medtr8g078870,Medtr7g099390,Medtr2g101820,Medtr3g435460,Medtr1g087030,",7.59E-11
Cellular component,chloroplast envelope,GO:0009941,7,8.84E-10,7.650085034,15,4.20E+02,84,17993,"Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr3g449930,Medtr2g029370,Medtr4g015570,Medtr2g089510,Medtr4g066170,Medtr2g079710,Medtr7g084800,Medtr4g094605,Medtr5g006130,Medtr7g099390,Medtr7g117970,Medtr3g435460,",4.18E-09
Cellular component,plastid envelope,GO:0009526,6,1.62E-09,7.31898796,15,4.39E+02,84,17993,"Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr3g449930,Medtr2g029370,Medtr4g015570,Medtr2g089510,Medtr4g066170,Medtr2g079710,Medtr7g084800,Medtr4g094605,Medtr5g006130,Medtr7g099390,Medtr7g117970,Medtr3g435460,",7.32E-09
Cellular component,thylakoid lumen,GO:0031977,5,1.48E-07,24.71565934,6,5.20E+01,84,17993,"Medtr3g095540,Medtr5g022300,Medtr3g449930,Medtr8g005175,Medtr8g078870,Medtr1g082420,",6.42E-07
Cellular component,intracellular organelle part,GO:0044446,4,4.55E-07,2.441922405,32,2.81E+03,84,17993,"Medtr3g095540,Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr3g449930,Medtr8g016270,Medtr5g098785,Medtr2g029370,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr8g023790,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr8g078870,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr3g435460,Medtr1g087030,",1.89E-06
Cellular component,organelle part,GO:0044422,2,4.59E-07,2.441052774,32,2.81E+03,84,17993,"Medtr3g095540,Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr3g449930,Medtr8g016270,Medtr5g098785,Medtr2g029370,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr8g023790,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr8g078870,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr3g435460,Medtr1g087030,",1.83E-06
Cellular component,organelle envelope,GO:0031967,5,5.07E-07,4.732011361,15,6.79E+02,84,17993,"Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr3g449930,Medtr2g029370,Medtr4g015570,Medtr2g089510,Medtr4g066170,Medtr2g079710,Medtr7g084800,Medtr4g094605,Medtr5g006130,Medtr7g099390,Medtr7g117970,Medtr3g435460,",1.95E-06
Cellular component,envelope,GO:0031975,3,5.16E-07,4.725052521,15,6.80E+02,84,17993,"Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr3g449930,Medtr2g029370,Medtr4g015570,Medtr2g089510,Medtr4g066170,Medtr2g079710,Medtr7g084800,Medtr4g094605,Medtr5g006130,Medtr7g099390,Medtr7g117970,Medtr3g435460,",1.92E-06
Cellular component,chloroplast thylakoid lumen,GO:0009543,7,9.99E-07,27.46184371,5,3.90E+01,84,17993,"Medtr3g095540,Medtr3g449930,Medtr8g005175,Medtr8g078870,Medtr1g082420,",3.58E-06
Cellular component,plastid thylakoid lumen,GO:0031978,6,9.99E-07,27.46184371,5,3.90E+01,84,17993,"Medtr3g095540,Medtr3g449930,Medtr8g005175,Medtr8g078870,Medtr1g082420,",3.58E-06
Cellular component,protein-containing complex,GO:0032991,2,5.96E-06,2.718904394,23,1812,84,17993,"Medtr3g095540,Medtr7g079900,Medtr3g010000,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr3g070340,Medtr4g015570,Medtr8g005175,Medtr4g125600,Medtr8g023790,Medtr4g052420,Medtr1g069235,Medtr4g094605,Medtr5g006130,Medtr8g078870,Medtr7g099390,Medtr2g101820,Medtr3g435460,Medtr1g087030,",1.94E-05
Cellular component,intracellular membrane-bounded organelle,GO:0043231,5,1.27E-05,1.674001023,48,6142,84,17993,"Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr3g106850,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr8g026960,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",3.99E-05
Cellular component,membrane-bounded organelle,GO:0043227,3,1.95E-05,1.650090561,48,6231,84,17993,"Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr3g106850,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr8g026960,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",5.98E-05
Cellular component,cell,GO:0005623,2,4.16E-05,1.424435325,61,9173,84,17993,"Medtr4g020110,Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr6g007637,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr3g114530,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr4g125600,Medtr3g106850,Medtr4g129630,Medtr4g014540,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr2g104940,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr1g069235,Medtr4g094605,Medtr5g069480,Medtr7g108250,Medtr2g070460,Medtr8g026960,Medtr0459s0020,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr4g047870,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",1.24E-04
Cellular component,intracellular organelle,GO:0043229,4,1.14E-04,1.538314036,49,6823,84,17993,"Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr3g106850,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr8g026960,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",3.21E-04
Cellular component,organelle,GO:0043226,2,1.18E-04,1.536512468,49,6831,84,17993,"Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr3g106850,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr8g026960,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",3.23E-04
Cellular component,cytoplasmic part,GO:0044444,4,1.29E-04,1.703485493,39,4904,84,17993,"Medtr3g095540,Medtr6g048440,Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr3g435460,Medtr1g087030,",3.43E-04
Cellular component,intracellular,GO:0005622,3,1.33E-04,1.450699539,55,8121,84,17993,"Medtr4g020110,Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr3g114530,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr4g125600,Medtr3g106850,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr1g069235,Medtr4g094605,Medtr5g069480,Medtr2g070460,Medtr8g026960,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr4g047870,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",3.46E-04
Cellular component,cell part,GO:0044464,2,1.72E-04,1.393224614,59,9071,84,17993,"Medtr4g020110,Medtr3g095540,Medtr6g048440,Medtr3g080100,Medtr7g079900,Medtr4g108720,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr6g007637,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr3g110205,Medtr2g079990,Medtr3g114530,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr7g065050,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr4g125600,Medtr3g106850,Medtr4g129630,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr2g104940,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr1g069235,Medtr4g094605,Medtr5g069480,Medtr2g070460,Medtr8g026960,Medtr0459s0020,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr3g096400,Medtr8g042750,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr4g047870,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr5g076960,Medtr3g435460,Medtr1g087030,",4.27E-04
Cellular component,cytoplasm,GO:0005737,4,3.86E-04,1.605113383,40,5338,84,17993,"Medtr4g020110,Medtr3g095540,Medtr6g048440,Medtr7g079900,Medtr3g010000,Medtr5g022300,Medtr5g098780,Medtr4g072410,Medtr3g449930,Medtr8g016270,Medtr1g070495,Medtr5g098785,Medtr2g029370,Medtr3g070340,Medtr7g062970,Medtr4g015570,Medtr4g005390,Medtr2g089510,Medtr8g005175,Medtr7g084000,Medtr8g023790,Medtr4g052420,Medtr6g011400,Medtr4g066170,Medtr2g079710,Medtr4g054960,Medtr7g084800,Medtr4g094605,Medtr2g070460,Medtr5g006130,Medtr5g063670,Medtr5g012110,Medtr8g078870,Medtr6g018300,Medtr1g082420,Medtr7g099390,Medtr2g101820,Medtr7g117970,Medtr3g435460,Medtr1g087030,",9.34E-04
