Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,"transferase activity, transferring glycosyl groups",GO:0016757,4,2.46E-12,3.693978962,39,7.45E+02,3.49E+02,24627,"Medtr2g016630,Medtr8g032950,Medtr7g070610,Medtr4g008010,Medtr2g037830,Medtr2g035780,Medtr6g042310,Medtr7g012120,Medtr5g016660,Medtr1g021855,Medtr0011s0020,Medtr7g109920,Medtr7g070660,Medtr4g031800,Medtr4g103620,Medtr8g086600,Medtr2g016470,Medtr8g090095,Medtr3g095910,Medtr3g111600,Medtr7g091880,Medtr8g063270,Medtr5g019220,Medtr3g005560,Medtr1g082880,Medtr2g046620,Medtr8g037260,Medtr7g111850,Medtr7g070860,Medtr2g044070,Medtr4g130510,Medtr7g070740,Medtr4g123553,Medtr7g055710,Medtr2g008225,Medtr2g008220,Medtr2g082650,Medtr7g070800,Medtr7g070583,",8.32E-10
Molecular function,"transferase activity, transferring hexosyl groups",GO:0016758,5,1.71E-10,3.971733766,30,5.33E+02,3.49E+02,24627,"Medtr2g016630,Medtr8g032950,Medtr7g070610,Medtr4g008010,Medtr2g037830,Medtr2g035780,Medtr6g042310,Medtr7g012120,Medtr5g016660,Medtr0011s0020,Medtr7g109920,Medtr7g070660,Medtr4g031800,Medtr8g086600,Medtr8g090095,Medtr3g095910,Medtr8g063270,Medtr3g005560,Medtr2g046620,Medtr8g037260,Medtr7g070860,Medtr2g044070,Medtr4g130510,Medtr7g070740,Medtr4g123553,Medtr7g055710,Medtr2g008225,Medtr2g008220,Medtr7g070800,Medtr7g070583,",2.90E-08
Molecular function,hydroquinone:oxygen oxidoreductase activity,GO:0052716,6,4.04E-10,25.65980724,8,2.20E+01,3.49E+02,24627,"Medtr7g062250,Medtr4g015120,Medtr3g462760,Medtr7g060460,Medtr7g062310,Medtr7g458880,Medtr5g020620,Medtr5g081810,",4.55E-08
Molecular function,cellulose synthase activity,GO:0016759,7,3.03E-09,16.28410844,9,3.90E+01,3.49E+02,24627,"Medtr2g016630,Medtr2g037830,Medtr2g035780,Medtr0011s0020,Medtr8g086600,Medtr8g063270,Medtr3g005560,Medtr8g037260,Medtr4g130510,",2.56E-07
Molecular function,cellulose synthase (UDP-forming) activity,GO:0016760,8,3.03E-09,16.28410844,9,3.90E+01,3.49E+02,24627,"Medtr2g016630,Medtr2g037830,Medtr2g035780,Medtr0011s0020,Medtr8g086600,Medtr8g063270,Medtr3g005560,Medtr8g037260,Medtr4g130510,",2.56E-07
Molecular function,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",GO:0016682,5,8.92E-09,18.21018578,8,3.10E+01,3.49E+02,24627,"Medtr7g062250,Medtr4g015120,Medtr3g462760,Medtr7g060460,Medtr7g062310,Medtr7g458880,Medtr5g020620,Medtr5g081810,",5.02E-07
Molecular function,"oxidoreductase activity, acting on diphenols and related substances as donors",GO:0016679,4,1.98E-08,16.60340469,8,3.40E+01,3.49E+02,24627,"Medtr7g062250,Medtr4g015120,Medtr3g462760,Medtr7g060460,Medtr7g062310,Medtr7g458880,Medtr5g020620,Medtr5g081810,",9.55E-07
Molecular function,endopeptidase inhibitor activity,GO:0004866,6,6.10E-08,7.628591342,12,1.11E+02,3.49E+02,24627,"Medtr6g066190,Medtr6g045403,Medtr2g083810,Medtr6g078290,Medtr6g045097,Medtr6g044780,Medtr6g059680,Medtr6g078070,Medtr6g065460,Medtr6g044810,Medtr3g106620,Medtr3g106585,",2.58E-06
Molecular function,endopeptidase regulator activity,GO:0061135,5,6.10E-08,7.628591342,12,1.11E+02,3.49E+02,24627,"Medtr6g066190,Medtr6g045403,Medtr2g083810,Medtr6g078290,Medtr6g045097,Medtr6g044780,Medtr6g059680,Medtr6g078070,Medtr6g065460,Medtr6g044810,Medtr3g106620,Medtr3g106585,",2.58E-06
Molecular function,peptidase inhibitor activity,GO:0030414,5,6.75E-08,7.560478919,12,1.12E+02,3.49E+02,24627,"Medtr6g066190,Medtr6g045403,Medtr2g083810,Medtr6g078290,Medtr6g045097,Medtr6g044780,Medtr6g059680,Medtr6g078070,Medtr6g065460,Medtr6g044810,Medtr3g106620,Medtr3g106585,",2.28E-06
