"","Feature_ID","OTU_ID","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1","0011518bede409c68530f75210046a16","OTU1264",14172934.7514205,0,0,0,0,0,0,3231851.52475248,0,2260873.22268024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416809.86704524,0,0,0,0,0,0,0,0,0,0,0,0,1820440.90206705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5442959.23487545,0
"2","00164c7536c8ab4acb8a26a2796f4e02","OTU5169",738518.950052761,0,0,0,0,0,0,0,0,0,0,0,738518.950052761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","001fdaf995f2165ee3d8f93ede6e8945","OTU1708",21252155.1303212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21252155.1303212,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","0024c4062593504ea307e0c1e89225ee","OTU3441",2618271.70581476,0,0,0,0,0,0,0,0,0,2618271.70581476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","00267656f96dff8ef081ae550bae44d4","OTU1520",15890557.7493257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007732.87141074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10882824.877915,0,0,0,0,0,0,0,0,0,0
"6","002d2f34e2366cea05d8e866f2c93ba4","OTU1165",23468001.9731852,0,1097312.36232071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22370689.6108645,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","0035bd41ce8254fa4ee4212106c27ee2","OTU3602",1881047.12885015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881047.12885015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","003e3a94bff2f3cd94abbd346389c71c","OTU3207",2085014.27507448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085014.27507448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","004b7368a1b5dc2034cd6c4531fce3fc","OTU4936",813618.998055072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813618.998055072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","00576b86f626b8a87974040b34663a76","OTU4684",1194062.3443287,0,0,0,0,0,1194062.3443287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","005c5944b18382ce25c9cb937c11a821","OTU4586",807454.7223858,0,0,0,0,0,0,0,0,807454.7223858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","006589252249d558895cad1ce7bebd0d","OTU5005",620864.751977526,0,0,0,0,0,0,0,0,0,0,0,0,620864.751977526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","006f58c700eac5e6a1814f852b24a35e","OTU1944",23008127.9921822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351568.66960158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14656559.3225806,0,0,0,0,0,0
"14","0071a1a99202f18d3435f11990e9d5dc","OTU3431",710025.64620752,0,710025.64620752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","007c40db1d61d4060c6deeb2b3a705e8","OTU3728",5372134.86160714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5372134.86160714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","0087467b4fbb7dd9fdeb2328972de33d","OTU655",105365794.238537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629218.937325306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11913551.3736518,7457727.37476495,0,0,0,0,20649250.8631579,0,0,0,0,0,0,11066653.8544521,0,0,0,29092304.1920904,0,0,0,14533357.0446359,0,0,10023730.5984587
"17","008f51c563efdb7101d68e5fe1e241ad","OTU956",22026318.1915921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11067434.1322196,0,0,0,0,0,0,0,0,0,0,0,0,5667398.81590378,0,5291485.24346879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","00976137d6fe63f243c4c1bafec62802","OTU134",956052160.312739,0,0,0,0,0,5015061.84618056,9049184.26930693,0,6621128.72356356,0,0,0,3259539.94788201,4439072.98634786,0,0,0,0,0,7125339.69503546,0,9356618.47763333,0,0,3265455.47642049,0,0,0,0,0,3573989.54481529,10784203.3198603,5633769.46562246,0,0,2392849.62496876,0,0,0,0,28171650.5183771,62766048.6808511,32576321.6626955,42491462.1758396,52966188.6880973,37812360.239949,20531704.772784,0,19486993.5624037,13909720.524308,24237914.8636364,0,18426058.0094151,0,0,0,52862082.2096842,33581608.9580113,0,45338793.8566203,22179974.6479087,23489224.0914077,0,33199961.5633562,38089887.0727023,45076335.0576392,70041140.4372442,61607232.4067797,31755878.5322581,31268179.1701571,0,0,4729208.40359589,15551312.0996441,23388704.7297369
"19","009a9f3f0ee682064b295dfba903d63f","OTU1995",17310212.3318452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17310212.3318452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","009d727f533b5b667bdbac082441ebc3","OTU2559",3068327.94506604,0,0,0,0,0,0,0,0,3068327.94506604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
