Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Cellular component,ribosome,GO:0005840,6,1.32E-05,5.422191418,10,5.44E+02,61,17993,"Medtr4g034720,Medtr4g051350,Medtr0094s0110,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",2.16E-04
Cellular component,thylakoid membrane,GO:0042651,6,1.33E-05,7.2607314,8,3.25E+02,61,17993,"Medtr4g051097,Medtr4g050860,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",1.86E-04
Cellular component,membrane protein complex,GO:0098796,3,4.23E-05,6.177323835,8,3.82E+02,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g051375,Medtr4g034770,Medtr4g006080,Medtr4g051103,",5.18E-04
Cellular component,photosystem,GO:0009521,5,6.76E-05,11.70504814,5,126,61,17993,"Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g051375,Medtr4g034770,",7.36E-04
Cellular component,ribonucleoprotein complex,GO:1990904,3,1.14E-04,4.201812153,10,702,61,17993,"Medtr4g034720,Medtr4g051350,Medtr0094s0110,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.001118609
Cellular component,cytoplasmic part,GO:0044444,4,2.14E-04,1.804448694,30,4904,61,17993,"Medtr4g051097,Medtr7g088880,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr1g116120,Medtr0094s0110,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr4g035040,Medtr4g051380,Medtr4g034770,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.001749109
Cellular component,chloroplast thylakoid,GO:0009534,7,2.39E-04,5.61078938,7,368,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",0.001799244
Cellular component,plastid thylakoid,GO:0031976,6,2.39E-04,5.61078938,7,368,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",0.001799244
Cellular component,chloroplast part,GO:0044434,6,3.21E-04,3.401089459,11,954,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr1g116120,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr4g034690,Medtr7g094710,Medtr4g006080,Medtr4g034790,",0.002093984
Cellular component,plastid part,GO:0044435,5,3.83E-04,3.331251893,11,974,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr1g116120,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr4g034690,Medtr7g094710,Medtr4g006080,Medtr4g034790,",0.002343075
